OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00135799,141,68.0,52.0,2.0,13.0,9.0
S00135800,88,38.0,28.0,4.0,6.0,9.0
S00135801,65,33.0,18.0,2.0,6.0,3.0
S00135802,68,31.0,19.0,4.0,6.0,7.0
S00135803,83,44.0,23.0,2.0,7.0,13.0
S00135804,92,30.0,35.0,2.0,11.0,10.0
S00135805,66,36.0,15.0,0.0,11.0,6.0
S00135806,90,44.0,38.0,2.0,8.0,2.0
S00135807,85,53.0,10.0,8.0,8.0,6.0
S00135808,99,37.0,30.0,5.0,11.0,16.0
S00135809,81,37.0,22.0,3.0,13.0,8.0
S00135810,94,25.0,58.0,0.0,7.0,2.0
S00135811,125,54.0,48.0,5.0,12.0,3.0
S00135812,92,47.0,20.0,5.0,14.0,6.0
S00135813,89,53.0,23.0,3.0,7.0,3.0
S00135814,57,36.0,11.0,3.0,7.0,0.0
S00135815,66,16.0,15.0,6.0,19.0,10.0
